data,TemperaturaMediaDoAr_C,TemperaturaMaximaAr_C,TemperaturaMinimaAr_C,TemperaturaMediaSolo_C,HumidadeRelativaArMedia_perc,HumidadeRelativaArMaxima_perc,HumidadeRelativaArMinima_perc,VelocidadeMediaVento_kmh,VelocidadeMaximaVento_kmh,PrecipitacaoMedia,PrecipitacaoTotal_mm,RadiacaoSolarGlobal_mj
2007-01-01 01:00:00,"10,89","11,47","10,04","0,00","81,98","94,00","72,90","0,00","0,00","0,00","0,00","0,00"
2007-01-01 02:00:00,"9,92","10,04","9,76","0,00","75,65","80,00","72,90","0,00","0,00","0,00","0,00","0,00"
2007-01-01 03:00:00,"9,29","9,51","9,10","0,00","81,18","94,00","74,30","0,00","0,00","0,00","0,00","0,00"
2007-01-01 04:00:00,"9,89","10,02","9,70","0,00","81,98","94,00","72,90","0,00","0,00","0,00","0,00","0,00"
2007-01-01 05:00:00,"9,56","9,80","9,30","0,00","75,65","80,00","72,90","0,00","0,00","0,00","0,00","0,00"
2007-01-01 06:00:00,"9,49","9,70","9,13","0,00","81,18","94,00","74,30","0,00","0,00","0,00","0,00","0,00"
2007-01-01 07:00:00,"8,62","8,82","8,34","0,00","81,98","94,00","72,90","0,00","0,00","0,00","0,00","0,00"
2007-01-01 08:00:00,"8,97","9,40","8,51","0,00","85,50","94,00","80,00","0,00","0,00","0,00","0,00","0,00"
2007-01-01 09:00:00,"10,58","11,64","9,89","0,00","85,50","94,00","80,00","0,00","0,00","0,00","0,00","0,00"
2007-01-01 10:00:00,"13,52","14,90","12,18","0,00","85,50","94,00","80,00","0,00","0,00","0,00","0,00","0,00"
2007-01-01 11:00:00,"16,56","17,05","15,61","0,00","85,50","94,00","80,00","0,00","0,00","0,00","0,00","0,00"
2007-01-01 12:00:00,"17,61","17,77","17,27","0,00","85,50","94,00","80,00","0,00","0,00","0,00","0,00","0,00"
2007-01-01 13:00:00,"17,78","18,03","17,57","0,00","85,50","94,00","80,00","0,00","0,00","0,00","0,00","0,00"
2007-01-01 14:00:00,"17,13","17,27","16,97","0,00","85,50","94,00","80,00","0,00","0,00","0,00","0,00","0,00"
2007-01-01 15:00:00,"17,13","17,70","16,46","0,00","85,50","94,00","80,00","0,00","0,00","0,00","0,00","0,00"
2007-01-01 16:00:00,"16,36","16,49","16,27","0,00","85,50","94,00","80,00","0,00","0,00","0,00","0,00","0,00"
2007-01-01 17:00:00,"16,02","16,17","15,89","0,00","85,50","94,00","80,00","0,00","0,00","0,00","0,00","0,00"
2007-01-01 18:00:00,"15,80","15,84","15,76","0,00","85,50","94,00","80,00","0,00","0,00","0,05","0,20","0,00"
2007-01-01 19:00:00,"15,30","15,62","15,06","0,00","85,50","94,00","80,00","0,00","0,00","0,00","0,00","0,00"
2007-01-01 20:00:00,"14,85","14,97","14,78","0,00","85,50","94,00","80,00","0,00","0,00","0,00","0,00","0,00"
2007-01-01 21:00:00,"14,64","14,74","14,54","0,00","85,50","94,00","80,00","0,00","0,00","0,00","0,00","0,00"
2007-01-01 22:00:00,"14,25","14,49","14,05","0,00","85,50","94,00","80,00","0,00","0,00","0,00","0,00","0,00"
2007-01-01 23:00:00,"13,59","13,91","13,07","0,00","85,50","94,00","80,00","0,00","0,00","0,00","0,00","0,00"
2007-01-02 00:00:00,"12,24","12,98","11,46","0,00","87,00","94,00","80,00","0,00","0,00","0,00","0,00","0,00"
2007-01-02 01:00:00,"10,27","10,85","9,71","0,00","85,50","94,00","80,00","0,00","0,00","0,00","0,00","0,00"
2007-01-02 02:00:00,"8,57","8,90","8,37","0,00","89,00","94,00","81,00","0,00","0,00","0,00","0,00","0,00"
2007-01-02 03:00:00,"7,94","8,24","7,72","0,00","85,50","94,00","80,00","0,00","0,00","0,00","0,00","0,00"
2007-01-02 04:00:00,"9,35","10,45","8,30","0,00","85,50","94,00","80,00","0,00","0,00","0,00","0,00","0,00"
2007-01-02 05:00:00,"10,12","10,71","9,69","0,00","87,00","94,00","80,00","0,00","0,00","0,00","0,00","0,00"
2007-01-02 06:00:00,"8,46","9,24","7,85","0,00","85,50","94,00","80,00","0,00","0,00","0,00","0,00","0,00"
2007-01-02 07:00:00,"8,82","9,92","7,71","0,00","89,00","94,00","81,00","0,00","0,00","0,00","0,00","0,00"
2007-01-02 08:00:00,"7,07","7,41","6,80","0,00","85,50","94,00","80,00","0,00","0,00","0,00","0,00","0,00"
2007-01-02 09:00:00,"9,07","10,97","7,21","0,00","85,50","94,00","80,00","0,00","0,00","0,00","0,00","0,00"
2007-01-02 10:00:00,"13,40","14,01","12,48","0,00","87,00","94,00","80,00","0,00","0,00","0,00","0,00","0,00"
2007-01-02 11:00:00,"14,85","15,18","14,50","0,00","85,50","94,00","80,00","0,00","0,00","0,00","0,00","0,00"
2007-01-02 12:00:00,"15,99","16,41","15,49","0,00","89,00","94,00","81,00","0,00","0,00","0,00","0,00","0,00"
2007-01-02 13:00:00,"17,23","17,46","16,78","0,00","85,50","94,00","80,00","0,00","0,00","0,00","0,00","0,00"
2007-01-02 14:00:00,"17,72","17,89","17,57","0,00","85,50","94,00","80,00","0,00","0,00","0,00","0,00","0,00"
2007-01-02 15:00:00,"17,83","18,02","17,68","0,00","87,00","94,00","80,00","0,00","0,00","0,00","0,00","0,00"
2007-01-02 16:00:00,"17,03","17,31","16,67","0,00","85,50","94,00","80,00","0,00","0,00","0,00","0,00","0,00"
2007-01-02 17:00:00,"13,36","15,78","10,95","0,00","89,00","94,00","81,00","0,00","0,00","0,00","0,00","0,00"
2007-01-02 18:00:00,"9,24","10,08","8,36","0,00","85,50","94,00","80,00","0,00","0,00","0,00","0,00","0,00"
2007-01-02 19:00:00,"7,70","8,00","7,14","0,00","85,50","94,00","80,00","0,00","0,00","0,00","0,00","0,00"
2007-01-02 20:00:00,"6,33","6,70","5,90","0,00","87,00","94,00","80,00","0,00","0,00","0,00","0,00","0,00"
2007-01-02 21:00:00,"5,56","5,70","5,32","0,00","85,50","94,00","80,00","0,00","0,00","0,00","0,00","0,00"
2007-01-02 22:00:00,"5,22","5,63","4,91","0,00","89,00","94,00","81,00","0,00","0,00","0,00","0,00","0,00"
2007-01-02 23:00:00,"5,03","5,46","4,71","0,00","85,50","94,00","80,00","0,00","0,00","0,00","0,00","0,00"
2007-01-03 00:00:00,"5,14","6,66","4,35","0,00","85,50","94,00","80,00","0,00","0,00","0,00","0,00","0,00"
2007-01-03 01:00:00,"5,10","6,04","4,42","0,00","87,00","94,00","80,00","0,00","0,00","0,00","0,00","0,00"
2007-01-03 02:00:00,"4,71","4,91","4,42","0,00","85,50","94,00","80,00","0,00","0,00","0,00","0,00","0,00"
2007-01-03 03:00:00,"4,47","4,85","4,11","0,00","89,00","94,00","81,00","0,00","0,00","0,00","0,00","0,00"
2007-01-03 04:00:00,"4,02","4,35","3,73","0,00","85,50","94,00","80,00","0,00","0,00","0,00","0,00","0,00"
2007-01-03 05:00:00,"4,49","4,94","4,14","0,00","85,50","94,00","80,00","0,00","0,00","0,00","0,00","0,00"
2007-01-03 06:00:00,"4,30","5,31","3,82","0,00","82,25","88,00","77,00","0,00","0,00","0,05","0,20","0,00"
2007-01-03 07:00:00,"4,52","4,86","3,91","0,00","77,00","77,00","77,00","0,00","0,00","0,00","0,00","0,00"
2007-01-03 08:00:00,"3,82","5,04","3,14","0,00","79,75","88,00","77,00","0,00","0,00","0,00","0,00","0,00"
2007-01-03 09:00:00,"7,67","9,17","5,72","0,00","77,00","77,00","77,00","0,00","0,00","0,00","0,00","0,00"
2007-01-03 10:00:00,"10,56","11,25","9,74","0,00","79,75","88,00","77,00","0,00","0,00","0,00","0,00","0,00"
2007-01-03 11:00:00,"12,84","13,93","11,89","0,00","77,00","77,00","77,00","0,00","0,00","0,00","0,00","0,00"
2007-01-03 12:00:00,"15,53","16,19","14,67","0,00","76,50","77,00","75,00","0,00","0,00","0,00","0,00","0,00"
2007-01-03 13:00:00,"16,59","17,02","16,12","0,00","79,75","88,00","77,00","0,00","0,00","0,00","0,00","0,00"
2007-01-03 14:00:00,"16,34","17,36","15,33","0,00","77,00","77,00","77,00","0,00","0,00","0,00","0,00","0,00"
2007-01-03 15:00:00,"15,95","16,12","15,80","0,00","76,50","77,00","75,00","0,00","0,00","0,00","0,00","0,00"
2007-01-03 16:00:00,"15,79","16,40","14,71","0,00","79,75","88,00","77,00","0,00","0,00","0,00","0,00","0,00"
2007-01-03 17:00:00,"12,52","13,45","12,03","0,00","76,50","77,00","75,00","0,00","0,00","0,00","0,00","0,00"
2007-01-03 18:00:00,"10,00","11,12","8,84","0,00","80,14","87,90","65,86","0,00","0,00","0,00","0,00","0,00"
2007-01-03 19:00:00,"8,49","8,67","8,36","0,00","73,60","87,60","59,25","0,00","0,00","0,00","0,00","0,00"
2007-01-03 20:00:00,"7,57","7,88","7,28","0,00","48,32","50,92","45,06","0,00","0,00","0,00","0,00","0,00"
2007-01-03 21:00:00,"7,23","7,56","7,00","0,00","36,15","39,34","32,61","0,00","0,00","0,00","0,00","0,00"
2007-01-03 22:00:00,"7,13","7,52","6,77","0,00","28,82","31,68","26,33","0,00","0,00","0,00","0,00","0,00"
2007-01-03 23:00:00,"7,45","7,69","7,27","0,00","26,68","27,19","26,03","0,00","0,00","0,00","0,00","0,00"
2007-01-04 00:00:00,"6,33","6,57","6,09","0,00","24,65","26,22","22,11","0,00","0,00","0,00","0,00","0,00"
2007-01-04 01:00:00,"5,78","6,22","5,59","0,00","19,00","21,33","16,60","0,00","0,00","0,00","0,00","0,00"
2007-01-04 02:00:00,"7,06","7,22","6,69","0,00","45,63","77,00","12,93","0,00","0,00","0,00","0,00","0,00"
2007-01-04 03:00:00,"7,20","7,37","7,00","0,00","77,00","77,00","77,00","0,00","0,00","0,00","0,00","0,00"
2007-01-04 04:00:00,"6,88","6,95","6,75","0,00","77,00","77,00","77,00","0,00","0,00","0,00","0,00","0,00"
2007-01-04 05:00:00,"5,98","6,51","5,32","0,00","77,00","77,00","77,00","0,00","0,00","0,00","0,00","0,00"
2007-01-04 06:00:00,"5,34","5,47","5,18","0,00","77,00","77,00","77,00","0,00","0,00","0,05","0,20","0,00"
2007-01-04 07:00:00,"5,06","5,24","4,84","0,00","77,00","77,00","77,00","0,00","0,00","0,00","0,00","0,00"
2007-01-04 08:00:00,"4,94","5,32","4,59","0,00","77,00","77,00","77,00","0,00","0,00","0,00","0,00","0,00"
